artist,track
Boosie BadAzz,24
BrockHampton,30
DJ Khaled,39
Drake,117
Eminem,78
Future,70
G-Eazy,39
Gucci Mane,57
J. Cole,41
Jeezy,30
Kanye West,30
Kendrick Lamar,71
Kevin Gates,32
Kodak Black,55
Lil Uzi Vert,30
Lil Yachty,41
Logic,28
Mac Miller,24
Machine Gun Kelly,24
Migos,37
Moneybagg Yo,33
NAV,24
NF,31
Nicki Minaj,22
Playboi Carti,35
Post Malone,37
Russ,21
Tech N9ne,33
Travis Scott,31
Wiz Khalifa,35
Yo Gotti,25
YoungBoy Never Broke Again,55
