artist,album,track
J. Cole,4 Your Eyez Only,For Whom the Bell Tolls
J. Cole,4 Your Eyez Only,Immortal
J. Cole,4 Your Eyez Only,Deja Vu
J. Cole,4 Your Eyez Only,Ville Mentality
J. Cole,4 Your Eyez Only,"She's Mine, Pt. 1"
J. Cole,4 Your Eyez Only,Change
J. Cole,4 Your Eyez Only,Neighbors
J. Cole,4 Your Eyez Only,Foldin Clothes
J. Cole,4 Your Eyez Only,"She's Mine, Pt. 2"
J. Cole,4 Your Eyez Only,4 Your Eyez Only
J. Cole,4 Your Eyez Only,4 Your Eyez Only [Credits]
J. Cole,4 Your Eyez Only,4 Your Eyez Only [Tracklist + Album Art]
J. Cole,4 Your Eyez Only,4 Your Eyez Only [Booklet]
J. Cole,2014 Forest Hills Drive,Intro (2014 Forest Hills Drive)
J. Cole,2014 Forest Hills Drive,January 28th
J. Cole,2014 Forest Hills Drive,Wet Dreamz
J. Cole,2014 Forest Hills Drive,03' Adolescence
J. Cole,2014 Forest Hills Drive,A Tale of 2 Citiez
J. Cole,2014 Forest Hills Drive,Fire Squad
J. Cole,2014 Forest Hills Drive,St. Tropez
J. Cole,2014 Forest Hills Drive,G.O.M.D.
J. Cole,2014 Forest Hills Drive,No Role Modelz
J. Cole,2014 Forest Hills Drive,Hello
J. Cole,2014 Forest Hills Drive,Apparently
J. Cole,2014 Forest Hills Drive,Love Yourz
J. Cole,2014 Forest Hills Drive,Note to Self
J. Cole,2014 Forest Hills Drive,2014 Forest Hills Drive [Album Art + Tracklist]
J. Cole,2014 Forest Hills Drive,2014 Forest Hills Drive [Credits]
J. Cole,2014 Forest Hills Drive,2014 Forest Hills Drive [Booklet]
J. Cole,KOD,Intro (KOD)
J. Cole,KOD,KOD
J. Cole,KOD,Photograph
J. Cole,KOD,The Cut Off (Ft. ​​​​​​​​​​​​​​​​​kiLL edward)
J. Cole,KOD,ATM
J. Cole,KOD,Motiv8
J. Cole,KOD,Kevin's Heart
J. Cole,KOD,BRACKETS
J. Cole,KOD,Once an Addict (Interlude)
J. Cole,KOD,FRIENDS (Ft. ​​​​​​​​​​​​​​​​​kiLL edward)
J. Cole,KOD,Window Pain (Outro)
J. Cole,KOD,"1985 (Intro to ""The Fall Off"")"
Original Broadway Cast Recording,Hamilton: An American Musical
Various Artists,The Hamilton Mixtape
Various Artists,"Quality Control: Control The Streets, Vol. 1"
Various Artists,Epic Lit (Version 3)
Various Artists,EPIC AF (Yellow/Pink)
Various Artists,Young Stoner Life: Slime Language
Kid Cudi,"Passion, Pain & Demon Slayin'",Frequency
Kid Cudi,"Passion, Pain & Demon Slayin'",Swim in the Light
Kid Cudi,"Passion, Pain & Demon Slayin'",Releaser (Ft. Kacy Hill)
Kid Cudi,"Passion, Pain & Demon Slayin'",By Design (Ft. André 3000)
Kid Cudi,"Passion, Pain & Demon Slayin'",All In
Kid Cudi,"Passion, Pain & Demon Slayin'",ILLusions
Kid Cudi,"Passion, Pain & Demon Slayin'",Rose Golden (Ft. Willow Smith)
Kid Cudi,"Passion, Pain & Demon Slayin'",Baptized in Fire (Ft. Travis Scott)
Kid Cudi,"Passion, Pain & Demon Slayin'",Flight At First Sight/Advanced (Ft. Pharrell Williams)
Kid Cudi,"Passion, Pain & Demon Slayin'",Does It
Kid Cudi,"Passion, Pain & Demon Slayin'",Dance 4 Eternity
Kid Cudi,"Passion, Pain & Demon Slayin'",Distant Fantasies
Kid Cudi,"Passion, Pain & Demon Slayin'",Wounds
Kid Cudi,"Passion, Pain & Demon Slayin'",Mature Nature
Kid Cudi,"Passion, Pain & Demon Slayin'",Kitchen (Ft. Jaden Smith)
Kid Cudi,"Passion, Pain & Demon Slayin'",Cosmic Warrior
Kid Cudi,"Passion, Pain & Demon Slayin'",The Guide (Ft. André 3000)
Kid Cudi,"Passion, Pain & Demon Slayin'",The Commander
Kid Cudi,"Passion, Pain & Demon Slayin'",Surfin' (Ft. Pharrell Williams)
Kid Cudi,"Passion, Pain & Demon Slayin'","Passion, Pain & Demon Slayin' [Tracklist + Album Cover]"
The Lox,Filthy America...It's Beautiful,Omen
The Lox,Filthy America...It's Beautiful,Stupid Questions
The Lox,Filthy America...It's Beautiful,What Else You Need To Know
The Lox,Filthy America...It's Beautiful,The Family
The Lox,Filthy America...It's Beautiful,The Agreement (Ft. Dyce Payne & Fetty Wap)
The Lox,Filthy America...It's Beautiful,Move Forward
The Lox,Filthy America...It's Beautiful,Savior (Ft. Dyce Payne)
The Lox,Filthy America...It's Beautiful,Don't You Cry
The Lox,Filthy America...It's Beautiful,Hard Life (Ft. Mobb Deep)
The Lox,Filthy America...It's Beautiful,Filthy America
The Lox,Filthy America...It's Beautiful,Bag Allegiance
The Lox,Filthy America...It's Beautiful,Secure The Bag (Ft. Gucci Mane & Infared)
Gucci Mane,The Return Of East Atlanta Santa,St. Brick Intro
Gucci Mane,The Return Of East Atlanta Santa,I Can't
Gucci Mane,The Return Of East Atlanta Santa,Walk on Water
Gucci Mane,The Return Of East Atlanta Santa,Both (Ft. Drake)
Gucci Mane,The Return Of East Atlanta Santa,Stutter
Gucci Mane,The Return Of East Atlanta Santa,Drove U Crazy (Ft. Bryson Tiller)
Gucci Mane,The Return Of East Atlanta Santa,Crash
Gucci Mane,The Return Of East Atlanta Santa,Yet
Gucci Mane,The Return Of East Atlanta Santa,Nonchalant
Gucci Mane,The Return Of East Atlanta Santa,Last Time (Ft. Travis Scott)
Gucci Mane,The Return Of East Atlanta Santa,Bales
Gucci Mane,The Return Of East Atlanta Santa,No Smoke
